Sample,Label,HMDB0012252,HMDB0004080,HMDB0001388,HMDB0001043,HMDB0006270,HMDB0000673,HMDB0005048,HMDB0010202,HMDB0004670,HMDB0004667,HMDB0004669,HMDB0003252,HMDB0004668,HMDB0004701,HMDB0004704,HMDB0004705,HMDB0004702,HMDB0062434,HMDB0003871,HMDB0004680,HMDB0060041,HMDB0002752,HMDB0001403,HMDB0001220,HMDB0001139,HMDB0002710,HMDB0004238,HMDB0004240,HMDB0002776,HMDB0002232,HMDB0004673,HMDB0002311,HMDB0002314,HMDB0002265,HMDB0006245,HMDB0002200,HMDB0003876,HMDB0004679,HMDB0006111,HMDB0001320,HMDB0244516,HMDB0002685,HMDB0005102,HMDB0060052,HMDB0062747,HMDB0013620,HMDB0010214,HMDB0060044,HMDB0060051,HMDB0060037,HMDB0060040,HMDB0060043,HMDB0060050,HMDB0004685,HMDB0060048,HMDB0060047,HMDB0002122,HMDB0005099,HMDB0012535,HMDB0003175,HMDB0002343,HMDB0001442,HMDB0001085
A19-037,Normal,9.793928610781157,12.43569506335277,6.88071875975846,14.91921970963566,14.72029934691578,14.75597103042298,13.33889082353517,2.545954590377427,6.091912335148183,5.522903598289515,5.7865256519536,7.772195704919046,5.60257329527702,4.867098277290135,1.706033386322872,2.534627949960506,5.753811859046018,7.212388339362635,8.723217830020875,1.280344965252167,2.173080798269183,1.755046343418075,3.652296711775349,2.350975906823114,3.742181208638598,2.302290336391793,1.833999086827213,4.227218222934005,3.57363706592487,5.499700896678631,5.194084097932532,3.585758575658908,2.334188598148906,3.583887109768206,3.117778749418802,6.228732281210576,5.752858755467113,5.34817114956912,7.877515008897194,3.532077565112775,2.080225976384485,1.58165289813866,1.002277112708501,3.071820054268617,5.526487848212683,3.682854471316468,2.419287766245541,5.516312421871291,3.697364335285335,3.056023092194838,4.716520250762842,3.372321346954231,2.884843476535006,4.168747745461431,4.655187773020559,2.309272126059111,3.303012986371993,2.962631239304879,0.8056026122190474,-0.8150015435498621,0.4682507201431731,-1.216160176867361,-0.1791472513883594
A19-040,Normal,8.909413891275127,11.89631566329016,6.525949094941845,15.19033238008124,14.93693172258856,14.98442589213885,13.61562740633335,4.409801869932972,6.787611490153108,5.923916334978461,4.948119955029718,7.604996457218643,5.338029248497836,5.039914710179703,2.052255461634048,2.931392698174299,5.642737088441989,5.371173813668208,7.016029978325848,2.055423172047476,3.939412444976981,2.054674872731,4.07274727476999,3.987154954647175,4.820026116885305,2.574865556516284,2.805242917015361,3.603638973062411,2.787641200450316,6.353409180144103,6.04702669022214,3.725262637707545,2.31397969085431,3.321123322131965,2.230982461758506,-0.01944066736006356,6.41026328781867,6.097373947605256,9.933124873144639,2.83799361967632,0.2576230394346555,2.334732441908116,0.9510800522381168,3.1495677556149,4.817955587453068,3.876057780199222,2.133492501978309,6.648974743272023,4.81722309449664,4.126441672618964,5.311148230181599,4.58027690346464,3.703394140453959,2.685370238459436,5.15853180802679,3.581235148225101,4.344152372302115,3.444604180783803,6.557272843298268,2.860555290893409,3.02433285966154,1.070463690409232,-0.9244574883262446
A19-055,Normal,8.721946635398425,11.60093565083546,6.732607364997319,15.20789389022386,14.94750164433194,14.96792508850598,13.6233310976896,4.488662152187177,6.080721584073847,5.026028760382903,4.544714041629137,7.622720631656238,4.172689889019657,4.318418029035985,1.665846094214459,2.84740975793977,5.262968079803271,6.583861078521998,6.705009406840712,1.122841507411799,3.853659070770918,1.791998650822861,4.976505735050139,3.938384187271286,3.871375315200043,2.462275733389314,2.87031490389109,3.283129959431801,3.114808577790297,5.202549125076677,5.05981490059107,3.723242595330388,2.326226768951786,2.972659357625529,1.728142699974853,7.51464329816303,5.391207118435204,5.13972450506734,9.958207445846016,3.070359225336073,-1.064299796599269,1.539048868598087,1.414414648670296,2.756676180879449,5.653104044077464,3.089355627405217,1.840791735565882,6.922387711180805,3.55166953695218,3.197704102665769,5.229322254929351,3.767171252791773,2.824033921903125,3.567202790441049,5.495692293253932,3.045979484671975,4.145283167319148,2.915468061090321,1.444143218323166,2.877531754260092,2.16526999837298,0.8290545610936211,3.000762386077691
A19-056,Normal,9.007040906641215,12.02147748848251,7.175993572117326,15.14325818991462,14.90961612227279,14.95544107215026,13.55130859706742,4.647816713379642,6.087879335248414,5.342058210885374,4.662507712732892,6.947366753777007,4.187901008249963,4.864503594653826,1.818664076164354,2.817610837046907,5.708966599266055,6.480866391033787,7.049878879042996,1.690392088139145,3.68093912307751,1.657355194004765,3.688559666044863,4.116149411660462,3.864783622042654,2.221654821677117,2.140482352094475,2.94286761572224,3.345038646337481,6.103525686533609,5.888428017748141,2.93994870932025,2.640187657380483,3.457844497774652,2.497029128826093,5.219552319313415,6.264142452599059,5.547556437998916,10.1838301831337,3.250101231008961,1.777488140042015,1.919150069414194,1.204833137893516,3.385495773066715,5.641395510234373,4.235860029341185,2.154297155842347,6.990210364175079,4.132029444383873,3.587404891523411,5.208462139391296,4.003907792760231,3.649668997530767,3.33486816291032,5.379121978689009,3.338653847906464,3.906139532804171,3.116766590176405,5.679535974499064,2.885039050223539,2.286996163192302,1.066012717528809,2.982993822252729
A19-061,Normal,9.01895869074048,11.98430587962995,7.091564660117021,15.71168938441619,15.42226944702969,15.45729138811776,14.10549202774981,3.101630230158647,5.502424962708049,4.615101124580049,4.953463861276674,6.720865823552359,4.736666467277661,4.735742360434685,1.142406004574719,2.595428000523273,5.057552687468079,5.200391526351467,6.692639545884678,0.9095805699463054,2.805868300610669,1.450099433613665,4.025156316520781,3.317640949118186,3.291387263221049,1.923368642860918,2.013943092000817,2.534215933646426,2.437756318919289,5.146782447756368,5.08025967060958,3.175711728677909,1.737857373201891,2.777338309870672,2.208080967196946,6.928794372480658,5.197257095812997,4.46917092824113,7.333480090173267,2.415281370902419,1.122823045397003,1.777064883749443,0.6772394944173091,2.557435932708084,4.157998421712177,3.923645582658273,1.946032269337492,5.10200152761762,3.806604176626827,2.667999490172388,3.892863896453119,3.477011599066407,2.672749429971149,3.044487280397735,4.043624657784927,2.539041669650566,3.858247388264252,2.531468135538637,3.671111915560253,2.270491651367753,1.99515551554407,0.358914317210379,-2.425429175843351
A19-070,Normal,8.390122181274391,10.29306730515436,7.136965514443999,14.83680131454324,14.67978386389708,14.6990529212065,13.25391857529292,5.316231791967982,6.980093460979296,6.084920211376394,5.14301620121126,7.730827932426413,6.524853203105391,4.916507144557681,1.390973451684285,2.953189543360965,5.763478144171834,1.540809417195377,6.321190717921878,2.221920271102758,3.668125868984101,2.266508658446899,5.114315547740989,3.876638353125745,4.744209526016921,2.560003632044297,2.935174584105201,3.747023412854559,4.201511785246955,5.098246951822422,5.160034486830076,3.535695482086912,2.087423967188031,3.191263313059209,2.368993199654801,5.811718416528619,6.604995953903809,5.719894649703177,9.991998442088805,4.335273438216283,2.719801554653633,3.201427928233807,1.835334695271416,4.006139560236905,5.541928980816473,3.914622755981427,2.184695274689664,7.096171963472523,4.820293573531768,4.094896956586036,5.444053327565017,4.952827486972963,3.74101051546029,3.174494365026642,5.564745192757095,3.823531818916726,3.882681244712192,4.22100683748307,6.314234800276513,3.115880962318635,2.270943705962669,1.623731765527364,-0.2068832196693928
A19-080,Normal,8.796464923065983,11.14369104665494,6.737596032993918,14.47763018281779,14.36704045077834,14.42247663531493,12.98187029817417,4.182202963925354,6.286617997682394,4.845491185668098,4.979493805782541,7.428147168363695,4.929933519303267,4.575365627454568,1.129120731328912,2.407466112483656,4.968569680281678,5.562907197796182,7.367702003697073,0.2897517907054012,4.05811719486845,1.923628897636704,5.379435441240048,4.435644232613271,3.775857373185786,2.585012189477132,2.821776127374885,3.831153236000429,4.04484495764781,4.956319331998375,4.880241876675014,2.354194149696685,1.222904705902722,2.022588280431531,1.436685158136536,-1.056930788791584,4.956622720301061,4.13261986810451,9.184814240284384,4.110449410750173,2.938954767911956,2.291544618638834,2.240032878262862,2.62321802676706,4.599184528366139,2.439998885614024,1.361727782484899,5.428575885478761,0.1216135580254214,1.822718529380675,3.706801896552542,2.985774953180598,2.008803885040552,3.640364524611692,4.101145991928819,1.637257137403182,3.606737037908002,3.381269996041826,5.341576110553277,3.657005169959883,1.860563257731454,2.206202666677856,-2.731843468217189
A19-085,Normal,9.736113615393544,12.66301148412897,7.069492176811004,14.74630560950631,14.66143206800819,14.67251638136542,13.20591215842586,4.750579592946438,6.771436564971456,5.588953087377336,5.438112073813591,8.05855344081039,5.489734568520288,5.295390987898884,2.333293946115012,3.01122070286866,5.840004268295585,5.536977727335701,7.756789543067941,2.072191035187015,4.280645783518001,2.869540749734695,4.991941114499177,4.443073087848603,4.850379336882787,3.699651969562664,3.327153239699536,4.042741337625006,3.37703977267548,5.587756669456041,5.609914843012062,3.238465155749268,1.608554352095594,3.132208385064723,2.629525263715792,7.832268675230401,6.286597532946473,5.900132366817853,10.61048711979408,3.351294159021348,2.320873244977376,3.017682018816042,2.247940826908634,3.745202394467944,6.020206553492497,3.237528522826818,1.586288367660268,6.485834969519454,1.030140795892397,3.050497092530355,4.499649439385665,3.611083174048657,2.630125173022569,2.365039900108323,4.933816854671734,2.810935809943014,3.677965802030638,3.396061934502772,5.680272474088947,4.018801507011959,0.4993965060290076,2.159465356231648,-0.8895557966429695
A19-112,Normal,8.715110408635484,11.43624250991794,6.868868944380439,14.6108664252559,14.43507108112379,14.43659183836547,13.04895419618054,4.772836304058396,5.988398634840906,5.059069648824132,4.93419144511415,7.033382819004825,5.061480351350512,4.847532157618266,1.338966264308608,2.87919850561086,5.270051342701403,5.97254311292019,7.69601940344575,1.377858805197562,3.976809721091544,2.637484135939992,5.151675614398044,4.143961777688061,3.47483273019533,2.953918510234988,2.779988961416738,3.150520683166564,3.429706059750109,4.976370679215454,4.832305613822845,2.691905748036489,1.757330805304953,3.011813871713868,1.674577352711293,6.605207967454935,5.080522722599032,4.469819413742202,9.117899152763298,3.447897616065249,1.990922710034893,2.180342080386409,1.590214048752831,2.700718481724063,4.723831353870301,3.12983088009072,1.998667347056959,5.919717516423072,3.505707213025872,2.509358658200932,3.791267669851187,3.152040936523571,2.223536407236287,3.245459292237774,3.98716689898075,1.903134091211077,3.457915628830107,3.641877677106324,4.674161350056488,3.135266781855483,2.028919234420669,1.738675637583231,0.719201261315242
A19-126,Normal,8.948304446017099,11.60300408903978,6.842423929698572,14.81052901331851,14.60444709183381,14.62357387445356,13.22276573720396,4.543069052975286,6.244889526457354,5.114079151990818,5.204213234560889,8.146436100155414,5.392971178123605,4.800690417493196,1.616087241550034,2.586358460244012,5.288269868697542,5.679418957475681,7.468744693740822,1.443010617424479,3.216851126175789,1.759098665218902,4.715904978796488,3.379376495512257,4.530784846292405,3.016572305737775,2.778880280464803,3.872156313431744,3.796755974144112,5.392117364844347,5.347843037775045,3.104662118812057,1.647330181864498,2.710920091571262,2.26587668856844,6.287511748907298,5.624831762212541,4.749044740638669,9.374259511054888,3.974169066538445,2.800887442854529,2.618418827409831,1.179499681664444,2.683361588538877,5.382681864337194,3.15860943826714,1.276128633100617,6.032165004574821,-1.788982596301427,2.395927762182763,4.230428609447821,3.303475829602503,2.234109496828158,3.907647380434308,4.369899254816932,2.207834782328192,3.439123578054968,4.095831553000912,5.510459644328382,2.576514453066864,2.251760049211487,1.176367554204859,0.3090926109596601
