Sample,Label,HMDB0012252,HMDB0004080,HMDB0001388,HMDB0001043,HMDB0006270,HMDB0000673,HMDB0005048,HMDB0010202,HMDB0004670,HMDB0004667,HMDB0004669,HMDB0003252,HMDB0004668,HMDB0004701,HMDB0004704,HMDB0004705,HMDB0004702,HMDB0062434,HMDB0003871,HMDB0004680,HMDB0060041,HMDB0002752,HMDB0001403,HMDB0001220,HMDB0001139,HMDB0002710,HMDB0004238,HMDB0004240,HMDB0002776,HMDB0002232,HMDB0004673,HMDB0002311,HMDB0002314,HMDB0002265,HMDB0006245,HMDB0002200,HMDB0003876,HMDB0004679,HMDB0006111,HMDB0001320,HMDB0244516,HMDB0002685,HMDB0005102,HMDB0060052,HMDB0062747,HMDB0013620,HMDB0010214,HMDB0060044,HMDB0060051,HMDB0060037,HMDB0060040,HMDB0060043,HMDB0060050,HMDB0004685,HMDB0060048,HMDB0060047,HMDB0002122,HMDB0005099,HMDB0012535,HMDB0003175,HMDB0002343,HMDB0001442,HMDB0001085
A19-037,Normal,9.025854281617057,11.501014109185638,6.571880496034178,14.620530273350063,14.308833281728466,14.355247239179121,13.00424388398905,3.114799293539045,6.251917249409728,5.866833258655621,5.486551310190167,7.844950211586437,5.492602180535933,4.060012683006442,1.6170046790590782,2.2422167714047414,3.8240146477851527,5.678406536999908,7.983115214272224,1.1383702083723588,2.7394559585922527,1.4362961879293767,3.912507549346834,2.8607976024656967,3.7155947542191856,1.7909644928013737,1.5189086233273739,3.8732192946398105,4.244797060015861,4.905565420464535,4.545523775894718,3.124705416405295,2.044795206151492,3.206423300458721,1.9618746588635427,8.17590472888754,5.815022694144307,5.186894871880751,8.716301509943019,4.230832431934385,1.0812837311968162,1.4137204939215806,1.4625355944279466,3.1987574097433544,5.890368319116388,2.870820716960081,1.9328601228981466,5.533486817639404,2.548665926066807,2.8689207823418736,5.065234373015983,3.3178914224313454,2.9160400553315697,3.5193115457317923,4.901770750531423,2.137954848732587,3.257751818289087,3.1324020405666277,1.2595306303415503,0.34271150976840126,-0.10973802355727713,-0.809919799734274,1.828236985860706
A19-040,Normal,8.516512460462225,11.463932262110841,6.386554212525599,15.12735397363049,14.789570221991989,14.843702896631122,13.524354139520193,4.573118637721779,6.923705823608774,6.18072669082901,4.6912781625613835,7.653937396120737,5.328796894326208,4.730595842530926,1.9964178807840713,2.681311350338707,5.196441642936704,3.448017530130012,6.159990473719206,2.2897743436138702,4.399593605410411,2.0076280780089,4.5306151240004455,4.415193021114964,4.67105596595413,2.5085541573054924,2.7382960468530335,3.270242453822679,3.2697988951413803,6.0909582662771165,5.800310432526963,3.3640808729835014,2.148326055234997,3.0232781637422916,1.7643315019598043,-0.881018849193961,6.462977620075,6.025281137729804,10.263856713186943,3.3404119679648567,0.4445983012968786,2.4318595054389305,1.2434571043747433,3.2783469238297633,4.969110861100824,3.6239734407563753,1.7995688867427004,6.543256600088618,4.896439312589786,4.081839547157635,5.353422517882545,4.584341776975721,3.626444010198916,2.1986126090458002,5.187198585728514,3.4559583354708487,4.284492328782503,3.4380811281793675,6.3373767518375175,3.499241321943632,2.7371175864815624,1.2700002492124582,0.3396657260059859
A19-055,Normal,8.266149691656329,11.103455946271051,6.52211350040426,15.134618777512227,14.783301037283772,14.811416842161709,13.522612819609874,4.744471269056149,6.20348584642994,5.324970324684644,4.253106539039476,7.647457649680427,4.095606524434495,3.832777421783173,1.5546517001401396,2.5732659792540007,4.472819259409834,4.702177228847497,5.793935760342502,1.348301026598846,4.276711959658806,1.6001274176723073,5.298654644087161,4.346172333832611,3.731987308855444,2.2144661582341683,2.655341389499898,2.913340419729786,3.582044335892404,4.902674347860776,4.759868794730774,3.36538505264624,2.1764628251186577,2.6717389339091895,1.077473596083031,6.888603340026769,5.505105088748025,5.087410630188274,10.384892356746374,3.555802136029371,-1.1719171108537092,1.5697571785395383,1.6450204912053417,2.9152898074663014,5.819184900526332,2.8050243666332006,1.4972985830370578,6.851686532586356,3.9695154358878435,3.1919674485584206,5.319212727141377,3.822325672037759,2.8767356527224375,3.0092655672853468,5.594860995232728,2.960666718739744,4.093095303855092,3.0189740850206177,1.2608267145302543,3.407402862783644,1.950167862098185,0.937839724057731,4.760714317702034
A19-056,Normal,8.412785022640048,11.31314115491626,6.959891217304217,14.944033575302011,14.611363859489769,14.665907824319778,13.318964427762197,5.02060923606625,6.242586535935022,5.636448959417855,4.3916959942612195,7.018488063938932,4.1415917336822154,4.318995684325792,1.7616121193518255,2.550467112362244,4.498200070955543,4.7745034543228435,6.28088844179907,1.704702384562352,4.216426619445868,1.4975809068178398,4.074543291125195,4.599401896032747,3.785141823519533,1.952140243974021,1.975836664773023,2.6093946846535014,3.9441707464147404,5.656999420785234,5.4213301539625265,2.5184764742732404,2.395910596073728,3.113843723002999,1.6832829069111743,5.9438764944355915,6.3020598179439276,5.416021188753084,10.783639875050612,3.874524703595955,1.3599142912632147,1.8813487725303384,1.6172867305435477,3.503237660033578,5.913632815638034,3.662708204474086,1.7331921313247367,6.945642953156338,3.3707137164539773,3.445402806375157,5.416454341483776,3.956277916908498,3.593583206202077,2.7754386593248648,5.513419529543004,3.1727714201068036,3.852521060604938,3.178032452736136,5.846743422327962,3.867568065323704,1.8034327137991342,1.4182924425090295,4.522268923876771
A19-061,Normal,8.692119751456945,11.637184787393636,6.989121391344195,15.685346706571123,15.31684041359263,15.357717268399862,14.051847739376315,3.189454971952962,5.637198597130871,4.851983580147317,4.708805977839506,6.770312649858972,4.7536660958084465,4.529551188356735,1.100711221021466,2.355627854612494,4.888338356386145,3.212668797640533,5.828596309910247,1.2011648733933336,3.256504944946753,1.467440621614886,4.534924956837126,3.7369378910864666,3.1226894880412157,1.9532325822592953,2.0084275871854884,2.2099367724795163,2.8944008964110437,4.939706337696958,4.901946276478294,2.828771526024633,1.5878871710578923,2.4918008719081595,1.8742083589505811,5.611856045483327,5.238374760283069,4.406993994459177,7.572954199532405,2.891442297515151,1.5345837289486521,1.924528725781266,0.95504021382598,2.6815158066419493,4.275151791720679,3.759889844903782,1.636296390745688,4.97224146024581,4.0112959610151036,2.6380309867942953,3.8818046594284104,3.4812277734844668,2.558170249715927,2.593692517962571,4.028258261129315,2.4139252489521605,3.795208906900656,2.480490585009476,3.345295042360129,2.850420667037158,1.7389990021910944,0.5429529334291363,-1.3540511126571049
A19-070,Normal,7.732970784344031,9.51963466820302,6.8497641774540785,14.62727999366975,14.364692494662464,14.393734422539469,13.012129394721125,5.781516663734755,7.121470590566332,6.421442168360068,4.8374387726182615,7.7777453217104355,6.410692918124109,4.194677494625611,1.2785646816474139,2.6619833878261243,4.20885824097317,-0.1240810856518717,5.497166138786385,2.2273389151466176,4.166485093806918,1.9619099328315204,5.364580232627888,4.339640917591565,4.674149872080377,2.108990878396845,2.6225022525548862,3.377157461323538,4.785721948735256,4.614296822725132,4.639706774879341,3.117547469079798,1.85903659766746,2.8441872729608906,1.3712288336467617,6.771580815348431,6.704096957305168,5.608138335453731,10.687761204863769,4.942721473208037,2.00763512975817,3.097207877760589,2.186017078319867,4.153715905575758,5.829091869021246,3.309224009785158,1.7540207128788383,7.0866215170427385,4.39760752644439,3.991760342791762,5.6996617141685775,4.956287156856135,3.814576585205955,2.543885267699121,5.7695446678881614,3.6976134379390873,3.8365349525685146,4.392301776577533,6.51802183577325,3.9895950548921295,1.8594933934746833,1.8852600946684677,1.8282205992467604
A19-080,Normal,8.55690759128346,10.891129181893355,6.724383366744734,14.472033887957604,14.291042934911287,14.350952433081524,12.948262598025636,4.147090153880684,6.43605825498685,5.029990469545954,4.776995910710877,7.504950980750927,5.029828794268277,4.593335074910263,1.153241721515544,2.19730845419467,5.25549996470192,3.512378905339255,6.563572952011297,0.6056528832280434,4.5481378049251155,2.120006545166965,6.054873566592311,4.875537174443103,3.5914456337906677,2.84312176817036,2.998160290656529,3.550097952454774,4.511896854860304,4.805195252071889,4.778921092092604,2.0070756885232224,1.0589801360283662,1.7435886575972792,1.3430472197660739,-2.7527398050571645,4.926005933333836,4.050670603785864,9.293514528649956,4.5991417943118496,3.738361013794747,2.526321063738063,2.5836835524239854,2.7125575949305585,4.691042513471344,2.3346122247893937,1.0688071027298875,5.253407616054915,-0.023287993088642933,1.7526843563067271,3.628834320542458,2.9325509918337365,1.7389501333175765,3.2786437830521153,3.9954496991633386,1.467219527564496,3.534447121968594,3.1953874059540452,4.948116136823181,4.344661339021572,1.5310437179867777,2.488464732003815,-2.266497559406151
A19-085,Normal,9.193035064150438,12.070972552089833,6.769767709694304,14.652284113809799,14.467799943390016,14.48795821753665,13.085157292121172,5.129326261654396,6.879534204445916,5.940277823368489,5.104344582858426,8.05593347275396,5.329755557500904,4.585589761112425,2.156283778300807,2.707434436561097,4.593710832399966,3.718099441407194,6.785801712281078,2.2733337652984478,4.664314706685307,2.498633057055101,5.148420538500282,4.830265234548376,4.726705294753474,3.2235967551126636,2.9302800572113696,3.6297279203017365,3.8338682110568483,5.231929862107215,5.232976127602888,2.880785871585306,1.4727447759928223,2.824750146220123,1.7386214899480645,7.585099406362396,6.472229954696591,5.86759082247548,11.167945851688005,3.824205612765701,1.8256103683917895,2.9610777256900858,2.4126967146912266,3.9385563268251644,6.211582794844662,2.89482818512494,1.225980016294651,6.46054199297704,1.7975800303304017,3.084826108118862,4.656448250583066,3.723677729059564,2.8381014753096365,1.7180286560770326,5.123315452760398,2.7705442331510635,3.635029373142394,3.6344729979916894,5.564599070826009,4.440945462143227,0.3576573961459131,2.1700270700885556,1.4764282893565863
A19-112,Normal,8.256146486293218,10.918596799795615,6.692522448320775,14.511252290199463,14.245777113367707,14.254719967067917,12.920051950927725,5.011645097841695,6.125813667329414,5.335807904957963,4.66516574361465,7.081817870502401,5.026016014476471,4.435085594398668,1.2689858861619074,2.6188359558504564,4.546674782772773,4.11395327455473,6.847983630206895,1.5549768448833223,4.446535397622321,2.5260493584945727,5.5576426725426105,4.580740968655357,3.3455902035128124,2.7914317724150317,2.6516107259074135,2.80800680585401,3.9373768716404824,4.658544961540891,4.517186492563778,2.3164824212416777,1.5759937362103256,2.7016609928970325,1.0751480413602568,6.198989930784466,5.14483372264162,4.3878107277732505,9.539888723488769,3.97657338602959,1.9531125502076945,2.227132365416215,1.8971674336174138,2.8341969442199235,4.908988531157311,2.7894179389595166,1.6405559951775461,5.838041297428072,3.459447864823887,2.450122910656367,3.886875482277786,3.1559545091276755,2.1842153269814206,2.722738795845667,4.059866851039809,1.7776968864009781,3.4016340231544784,3.6798091224266134,4.560186040335108,3.8327098282865233,1.7106452014136893,1.9537101389709266,2.176069626793455
A19-126,Normal,8.328934762751677,10.902451614896815,6.522477346730268,14.658834090265067,14.347961997240823,14.376875251111363,13.042066996611629,4.996108396373324,6.363630151329349,5.473942121084719,4.870855058848231,8.158059382931615,5.229498342926848,4.020633549296719,1.4489288462700955,2.2796210622835287,3.772032132013334,3.947604215078502,6.546161439032404,1.5495580466605838,3.640428911485599,1.3660392474074812,4.866392835565013,3.794521931119365,4.435643160738411,2.4856629653921196,2.3670307132651853,3.465935547352943,4.307556998350359,4.962781048338834,4.884476280704407,2.719983563006322,1.4741442169738326,2.383846594337267,1.2576418095253863,6.689961192946717,5.7925148871261225,4.686788581070799,10.031436418750603,4.503639101785732,2.09640299716291,2.5152442035545834,1.4083725848546114,2.8662910328737192,5.624229319465125,2.681497513453826,0.8794752386375759,6.0270561566516605,-1.4527729895347676,2.3803565995859315,4.450794223366694,3.3838724199019854,2.4268952581850027,3.242194626450629,4.592385267648935,2.142183255695279,3.3974286803066565,4.343261111048026,5.557274497848135,3.1694921310887163,2.0105969617352786,1.2707729044183491,2.702449203522027
