original_name,ascii_name,HMDB ID,KEGG ID,has_HMDB,has_KEGG,asciified,recommended_input_ID
Linoleoyl ethanolamide,Linoleoyl ethanolamide,HMDB0012252,,True,False,False,HMDB:HMDB0012252
Anandamide,Anandamide,HMDB0004080,C11695,True,True,False,HMDB:HMDB0004080
α-Linolenic acid,alpha-Linolenic acid,HMDB0001388,C06427,True,True,True,HMDB:HMDB0001388
Arachidonic acid,Arachidonic acid,HMDB0001043,C00219,True,True,False,HMDB:HMDB0001043
Linoelaidic acid,Linoelaidic acid,HMDB0006270,,True,False,False,HMDB:HMDB0006270
Linoleic acid,Linoleic acid,HMDB0000673,C01595,True,True,False,HMDB:HMDB0000673
Conjugated linoleic acids,Conjugated linoleic acids,HMDB0005048,C04056,True,True,False,HMDB:HMDB0005048
"12-Hydroxy-5,8,10,14,17-eicosapentaenoic acid","12-Hydroxy-5,8,10,14,17-eicosapentaenoic acid",HMDB0010202,,True,False,False,HMDB:HMDB0010202
"15-Hydroperoxy-5,8,11,14,17-eicosapentaenoic acid","15-Hydroperoxy-5,8,11,14,17-eicosapentaenoic acid",,,False,False,False,"NAME:15-Hydroperoxy-5,8,11,14,17-eicosapentaenoic acid"
"9-Hydroxy-10E,12Z-octadecadienoic acid","9-Hydroxy-10E,12Z-octadecadienoic acid",HMDB0004670,C14767,True,True,False,HMDB:HMDB0004670
"13-Hydroxy-9Z,11E-octadecadienoic acid","13-Hydroxy-9Z,11E-octadecadienoic acid",HMDB0004667,C14762,True,True,False,HMDB:HMDB0004667
"9-Oxo-10E,12Z-octadecadienoic acid","9-Oxo-10E,12Z-octadecadienoic acid",HMDB0004669,C14766,True,True,False,HMDB:HMDB0004669
Thromboxane B2,Thromboxane B2,HMDB0003252,C05963,True,True,False,HMDB:HMDB0003252
"13-Oxo-9Z,11E-octadecadienoicacid","13-Oxo-9Z,11E-octadecadienoicacid",HMDB0004668,C14765,True,True,False,HMDB:HMDB0004668
"9,10-Epoxy-12Z-octadecenoic acid","9,10-Epoxy-12Z-octadecenoic acid",HMDB0004701,C14825,True,True,False,HMDB:HMDB0004701
"9,10-DiHydroxy-12Z-octadecenoic acid","9,10-DiHydroxy-12Z-octadecenoic acid",HMDB0004704,C14828,True,True,False,HMDB:HMDB0004704
"12,13 -DiHydroxy-9Z-octadecenoic acid","12,13 -DiHydroxy-9Z-octadecenoic acid",HMDB0004705,C14829,True,True,False,HMDB:HMDB0004705
"12,13-Epoxy-9Z-octadecenoic acid","12,13-Epoxy-9Z-octadecenoic acid",HMDB0004702,C14826,True,True,False,HMDB:HMDB0004702
"13-Hydroperoxy-9Z,11E-octadecadienoic acid","13-Hydroperoxy-9Z,11E-octadecadienoic acid",HMDB0003871,C04717,True,True,False,HMDB:HMDB0003871
"16-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid","16-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid",HMDB0004680,C14778,True,True,False,HMDB:HMDB0004680
11β-Prostaglandin E2,11beta-Prostaglandin E2,HMDB0060041,,True,False,True,HMDB:HMDB0060041
"15-Deoxy-δ-12,14-prostaglandin D2","15-Deoxy-delta-12,14-prostaglandin D2",,,False,False,True,"NAME:15-Deoxy-delta-12,14-prostaglandin D2"
"11β-13,14-Dihydro-15-keto prostaglandinF2α","11beta-13,14-Dihydro-15-keto prostaglandinF2alpha",,,False,False,True,"NAME:11beta-13,14-Dihydro-15-keto prostaglandinF2alpha"
"1α,1β-Dihomo prostaglandin E2","1alpha,1beta-Dihomo prostaglandin E2",,,False,False,True,"NAME:1alpha,1beta-Dihomo prostaglandin E2"
"11-Hydroxy-5Z,8Z,11E,14Z-eicosatetraenoic acid","11-Hydroxy-5Z,8Z,11E,14Z-eicosatetraenoic acid",,,False,False,False,"NAME:11-Hydroxy-5Z,8Z,11E,14Z-eicosatetraenoic acid"
Prostaglandin A2,Prostaglandin A2,HMDB0002752,C05953,True,True,False,HMDB:HMDB0002752
Prostaglandin D2,Prostaglandin D2,HMDB0001403,C00696,True,True,False,HMDB:HMDB0001403
Prostaglandin E2,Prostaglandin E2,HMDB0001220,C00584,True,True,False,HMDB:HMDB0001220
Prostaglandin F2α,Prostaglandin F2alpha,HMDB0001139,C00639,True,True,True,HMDB:HMDB0001139
Prostaglandin J2,Prostaglandin J2,HMDB0002710,C05957,True,True,False,HMDB:HMDB0002710
δ-12-Prostaglandin J2,delta-12-Prostaglandin J2,HMDB0004238,C05958,True,True,True,HMDB:HMDB0004238
15-Keto prostaglandin F2α,15-Keto prostaglandin F2alpha,HMDB0004240,C05960,True,True,True,HMDB:HMDB0004240
"6,15-Diketo-13,14-dihydro-prostaglandin F1α","6,15-Diketo-13,14-dihydro-prostaglandin F1alpha",,,False,False,True,"NAME:6,15-Diketo-13,14-dihydro-prostaglandin F1alpha"
"13,14-Dihydro-15-keto prostaglandin E2","13,14-Dihydro-15-keto prostaglandin E2",HMDB0002776,C04671,True,True,False,HMDB:HMDB0002776
"8,9-Dpoxy-5Z,11Z,14Z-eicosatrienoic acid","8,9-Dpoxy-5Z,11Z,14Z-eicosatrienoic acid",HMDB0002232,C14769,True,True,False,HMDB:HMDB0002232
"11,12-Epoxy-5Z,8Z,14Z-eicosatrienoic acid","11,12-Epoxy-5Z,8Z,14Z-eicosatrienoic acid",HMDB0004673,C14770,True,True,False,HMDB:HMDB0004673
"8,9-DiHydroxy-5Z,11Z,14Z-eicosatrienoic acid","8,9-DiHydroxy-5Z,11Z,14Z-eicosatrienoic acid",HMDB0002311,C14773,True,True,False,HMDB:HMDB0002311
"11,12-DiHydroxy-5Z,8Z,14Z-eicosatrienoic acid","11,12-DiHydroxy-5Z,8Z,14Z-eicosatrienoic acid",HMDB0002314,C14774,True,True,False,HMDB:HMDB0002314
"14,15-DiHydroxy-5Z,8Z,11Z-eicosatrienoic acid","14,15-DiHydroxy-5Z,8Z,11Z-eicosatrienoic acid",HMDB0002265,C14775,True,True,False,HMDB:HMDB0002265
"18-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid","18-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid",HMDB0006245,,True,False,False,HMDB:HMDB0006245
"15-Hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid","15-Hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid",HMDB0003876,C04742,True,True,False,HMDB:HMDB0003876
"8-Hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid","8-Hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid",HMDB0004679,C14776,True,True,False,HMDB:HMDB0004679
"12-Hydroxy-5Z,8Z,10E,14Z-eicosatetraenoic acid","12-Hydroxy-5Z,8Z,10E,14Z-eicosatetraenoic acid",HMDB0006111,C14777,True,True,False,HMDB:HMDB0006111
15-Keto prostaglandin E1,15-Keto prostaglandin E1,HMDB0001320,C04654,True,True,False,HMDB:HMDB0001320
Prostaglandin F1α,Prostaglandin F1alpha,HMDB0002685,C06475,True,True,True,HMDB:HMDB0002685
Prostaglandin D1,Prostaglandin D1,HMDB0005102,C06438,True,True,False,HMDB:HMDB0005102
"8-Hydroxy-9E,11Z,14Z-eicosatrienoic acid","8-Hydroxy-9E,11Z,14Z-eicosatrienoic acid",HMDB0060052,,True,False,False,HMDB:HMDB0060052
"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid","12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid",HMDB0062747,,True,False,False,HMDB:HMDB0062747
"15-Hydroxy-8Z,11Z,13E-eicosatrienoic acid","15-Hydroxy-8Z,11Z,13E-eicosatrienoic acid",,,False,False,False,"NAME:15-Hydroxy-8Z,11Z,13E-eicosatrienoic acid"
"19(20)-Epoxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid","19(20)-Epoxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid",HMDB0013620,,True,False,False,HMDB:HMDB0013620
"19,20-DiHydroxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid","19,20-DiHydroxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid",HMDB0010214,,True,False,False,HMDB:HMDB0010214
"14-Hydroxy-4Z,7Z,10Z,12E,16Z,19Z-docosahexaenoic acid","14-Hydroxy-4Z,7Z,10Z,12E,16Z,19Z-docosahexaenoic acid",HMDB0060044,,True,False,False,HMDB:HMDB0060044
"10-Hydroxy-4Z,7Z,11E,13Z,16Z,19Z-docosahexaenoic acid","10-Hydroxy-4Z,7Z,11E,13Z,16Z,19Z-docosahexaenoic acid",HMDB0060037,,True,False,False,HMDB:HMDB0060037
"11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid","11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid",HMDB0060040,,True,False,False,HMDB:HMDB0060040
"13-Hydroxy-4Z,7Z,10Z,14E,16Z,19Z-docosahexaenoic acid","13-Hydroxy-4Z,7Z,10Z,14E,16Z,19Z-docosahexaenoic acid",HMDB0060043,,True,False,False,HMDB:HMDB0060043
"7-Hydroxy-4Z,8E,10Z,13Z,16Z,19Z-docosahexaenoic acid","7-Hydroxy-4Z,8E,10Z,13Z,16Z,19Z-docosahexaenoic acid",HMDB0060050,,True,False,False,HMDB:HMDB0060050
"13,14-Dihydro-15-keto-pgf2α","13,14-Dihydro-15-keto-pgf2alpha",HMDB0004685,,True,False,True,HMDB:HMDB0004685
"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid","20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",HMDB0060048,,True,False,False,HMDB:HMDB0060048
"16-Hydroxy-4Z,7Z,10Z,13Z,17E,19Z-docosahexaenoic acid","16-Hydroxy-4Z,7Z,10Z,13Z,17E,19Z-docosahexaenoic acid",HMDB0060047,,True,False,False,HMDB:HMDB0060047
"15-Hydroxy-11Z,13E-eicosadienoic acid","15-Hydroxy-11Z,13E-eicosadienoic acid",,,False,False,False,"NAME:15-Hydroxy-11Z,13E-eicosadienoic acid"
Prostaglandin F3α,Prostaglandin F3alpha,HMDB0002122,C06476,True,True,True,HMDB:HMDB0002122
Thromboxane B3,Thromboxane B3,HMDB0005099,,True,False,False,HMDB:HMDB0005099
"12S-Hydroxy-5Z,8E,10E-heptadecatrienoic acid","12S-Hydroxy-5Z,8E,10E-heptadecatrienoic acid",HMDB0012535,C20388,True,True,False,HMDB:HMDB0012535
15-Keto prostaglandin E2,15-Keto prostaglandin E2,HMDB0003175,C04707,True,True,False,HMDB:HMDB0003175
"5,6-DiHydroxy-8Z,11Z,14Z-eicosatrienoic acid","5,6-DiHydroxy-8Z,11Z,14Z-eicosatrienoic acid",HMDB0002343,C14772,True,True,False,HMDB:HMDB0002343
"13,14-Dihydro-15-keto Prostaglandin F1α","13,14-Dihydro-15-keto Prostaglandin F1alpha",,,False,False,True,"NAME:13,14-Dihydro-15-keto Prostaglandin F1alpha"
Prostaglandin E1,Prostaglandin E1,HMDB0001442,C04741,True,True,False,HMDB:HMDB0001442
