Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier,also_in_80_main
"5,6-DiHydroxy-8Z,11Z,14Z-eicosatrienoic acid",5，6-双羟基-8Z，11Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14772,HMDB0002343,9.83148422222222,"Extracellular,Membrane",165,exploratory,False,↑(超重肥胖>正常),0.6116,0.2116,1.0116,1.1162,1.7291,0.002727,0.199043,0.018997,2.3695,0.587549,0.081901,0.747343,3,True,0.459,True,0.2495,0.013537,True,True
"6,15-Diketo-13,14-dihydro-prostaglandin F1α","6,15-双酮基-13，14-二氢-前列腺素 F1α",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,7.34461752631579,,165,exploratory,False,↑(超重肥胖>正常),0.883,0.1165,1.6496,2.9014,3.78,0.023952,0.510587,0.047422,1.9978,0.589619,0.044765,0.697571,4,True,0.8667,True,0.0185,0.006385,True,True
"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid","12-羟基-8Z,10E,14Z-二十碳三烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,,HMDB0062747,10.2604945,,165,-,False,↑(超重肥胖>正常),0.3239,0.0196,0.6281,5.3436,5.6484,0.03693,0.510587,0.021359,2.3242,0.587549,0.037859,0.697571,1,True,0.3506,True,-0.0824,0.021849,True,True
"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",20-羟基-4Z，7Z，10Z，13Z，16Z，18E-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060048,10.1243335,Membrane,165,-,False,↑(超重肥胖>正常),0.3194,0.0386,0.6002,4.9274,5.225,0.025788,0.510587,0.024146,2.2763,0.587549,0.031302,0.697571,1,True,0.2868,True,0.102,0.038342,True,True
"1α,1β-Dihomo prostaglandin E2","1α,1β-二高 前列腺素 E2",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,8.3089018,,165,-,False,↑(超重肥胖>正常),0.4239,0.0423,0.8055,-0.6171,-0.2072,0.029456,0.510587,0.056033,1.9247,0.589619,0.053152,0.697571,2,True,0.3401,True,0.1976,0.063112,False,True
"8,9-DiHydroxy-5Z,11Z,14Z-eicosatrienoic acid",8，9-双羟基-5Z，11Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14773,HMDB0002311,9.56026735,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1274,-0.2573,0.0026,2.7587,2.6303,0.054727,0.510587,0.063637,-1.8676,0.589619,0.179936,0.801625,0,False,-0.1274,True,0.0,0.054727,True,True
"18-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid",18-羟基-5Z，8Z，11Z，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,,HMDB0006245,9.75928835,"Extracellular,Membrane,Endoplasmicreticulum",165,-,False,↓(超重肥胖<正常),-0.3203,-0.7152,0.0746,1.5086,1.263,0.111904,0.628385,0.07098,-1.8176,0.589619,0.403134,0.832421,4,True,-0.3095,True,0.0337,0.082371,False,True
Thromboxane B2,血栓烷B2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Thromboxanes,C05963,HMDB0003252,7.3283283,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.165,0.0038,0.3261,7.3442,7.5046,0.044819,0.510587,0.07191,1.8116,0.589619,0.057335,0.697571,1,True,0.1571,True,0.0478,0.053628,False,True
"13-Hydroxy-4Z,7Z,10Z,14E,16Z,19Z-docosahexaenoic acid",13-羟基-4Z，7Z，10Z，14E，16Z，19Z-二十二碳六烯酸,Fatty Acyls,Fatty alcohols,Lipids and lipid-like molecules,Long-chain fatty alcohols,,HMDB0060043,10.0117177,Membrane,165,-,False,↑(超重肥胖>正常),0.1692,-0.0043,0.3427,3.66,3.8299,0.055955,0.510587,0.072693,1.8066,0.589619,0.067066,0.699399,0,False,0.1692,True,0.0,0.055955,True,True
"14-Hydroxy-4Z,7Z,10Z,12E,16Z,19Z-docosahexaenoic acid","14-羟基-4Z,7Z,10Z,12E,16Z,19Z-二十二碳六烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,,HMDB0060044,10.0538205,Membrane,165,-,False,↑(超重肥胖>正常),0.2713,-0.0729,0.6154,6.2345,6.4816,0.122353,0.636611,0.100557,1.6516,0.6741,0.142825,0.801625,2,True,0.2707,True,0.0022,0.116871,False,True
