Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier
"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid","12-羟基-8Z,10E,14Z-二十碳三烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,,HMDB0062747,10.2604945,,165,-,False,↑(超重肥胖>正常),0.3239,0.0196,0.6281,5.3436,5.6484,0.03693,0.637769,0.021229,2.3265,0.668606,0.037859,0.704198,1,True,0.3506,True,-0.0824,0.021849,True
"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",20-羟基-4Z，7Z，10Z，13Z，16Z，18E-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060048,10.1243335,Membrane,165,-,False,↑(超重肥胖>正常),0.3193,0.0391,0.5995,4.9279,5.2255,0.025539,0.637769,0.023632,2.2846,0.668606,0.031302,0.704198,1,True,0.2872,True,0.1005,0.037862,True
"8,9-DiHydroxy-5Z,11Z,14Z-eicosatrienoic acid",8，9-双羟基-5Z，11Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14773,HMDB0002311,9.56026735,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1274,-0.2573,0.0026,2.7587,2.6303,0.054727,0.637769,0.06404,-1.8647,0.668606,0.179936,0.704198,0,False,-0.1274,True,0.0,0.054727,True
Thromboxane B2,血栓烷B2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Thromboxanes,C05963,HMDB0003252,7.3283283,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.165,0.0038,0.3261,7.3442,7.5046,0.044819,0.637769,0.071929,1.8114,0.668606,0.057335,0.704198,1,True,0.1571,True,0.0478,0.053628,False
"13-Hydroxy-4Z,7Z,10Z,14E,16Z,19Z-docosahexaenoic acid",13-羟基-4Z，7Z，10Z，14E，16Z，19Z-二十二碳六烯酸,Fatty Acyls,Fatty alcohols,Lipids and lipid-like molecules,Long-chain fatty alcohols,,HMDB0060043,10.0117177,Membrane,165,-,False,↑(超重肥胖>正常),0.1692,-0.0043,0.3427,3.66,3.8299,0.055955,0.637769,0.072683,1.8066,0.668606,0.067066,0.704198,0,False,0.1692,True,0.0,0.055955,True
"5,6-DiHydroxy-8Z,11Z,14Z-eicosatrienoic acid",5，6-双羟基-8Z，11Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14772,HMDB0002343,9.83148422222222,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.4793,-0.0883,1.0469,1.0523,1.5147,0.097937,0.640719,0.094875,1.6801,0.668606,0.133112,0.704198,4,True,0.6195,True,-0.2926,0.001446,True
"14-Hydroxy-4Z,7Z,10Z,12E,16Z,19Z-docosahexaenoic acid","14-羟基-4Z,7Z,10Z,12E,16Z,19Z-二十二碳六烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,,HMDB0060044,10.0538205,Membrane,165,-,False,↑(超重肥胖>正常),0.2713,-0.0729,0.6154,6.2345,6.4816,0.122353,0.640719,0.100142,1.6536,0.668606,0.142825,0.704198,2,True,0.2707,True,0.0022,0.116871,False
"11-Hydroxy-5Z,8Z,11E,14Z-eicosatetraenoic acid",11-羟基-5Z，8Z，11E，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,,,10.016998,,165,-,False,↑(超重肥胖>正常),0.1323,-0.0091,0.2737,5.3369,5.4699,0.066633,0.637769,0.102496,1.6422,0.668606,0.097061,0.704198,0,False,0.1323,True,0.0,0.066633,True
"6,15-Diketo-13,14-dihydro-prostaglandin F1α","6,15-双酮基-13，14-二氢-前列腺素 F1α",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,7.34461752631579,,165,-,False,↑(超重肥胖>正常),0.6429,-0.1672,1.453,3.0495,3.6819,0.119859,0.640719,0.114169,1.5883,0.668606,0.043991,0.704198,1,True,0.8859,True,-0.3779,0.007762,True
"16-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid",16-羟基-5Z，8Z，11Z，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C14778,HMDB0004680,9.80490405,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1696,-0.4426,0.1034,1.6763,1.5607,0.223403,0.640719,0.127018,-1.5338,0.668606,0.931481,0.960142,2,True,-0.0379,True,0.7767,0.720802,False
