tier,PC,解释方差%,年份R²,年份P,BMIR²,BMI P
80% 主分析,PC1,18.08,0.002,0.843,0.02,0.0698
80% 主分析,PC2,15.36,0.135,7.96e-06,0.001,0.718
80% 主分析,PC3,9.04,0.039,0.0406,0.001,0.742
80% 主分析,PC4,5.31,0.039,0.0408,0.004,0.438
80% 主分析,PC5,4.71,0.043,0.0289,0.01,0.204
80% 主分析,PERMANOVA-year,,3.071,0.001,1.098,0.321
80% 主分析,Cramer's V (年份×BMI),,0.071,,,
50% 探索性,PC1,16.71,0.06,0.00691,0.006,0.343
50% 探索性,PC2,14.95,0.034,0.0596,0.017,0.094
50% 探索性,PC3,8.29,0.086,0.000674,0.0,0.952
50% 探索性,PC4,6.59,0.065,0.00441,0.004,0.446
50% 探索性,PC5,4.76,0.037,0.0455,0.006,0.314
50% 探索性,PERMANOVA-year,,3.037,0.001,1.165,0.265
50% 探索性,Cramer's V (年份×BMI),,0.071,,,
