tier,PC,解释方差%,batchR²,batch P,yearR²,year P,BMIR²,BMI P
80% 主分析,PC1,18.08,0.041,0.00884,0.002,0.843,0.02,0.0698
80% 主分析,PC2,15.36,0.001,0.748,0.135,7.96e-06,0.001,0.718
80% 主分析,PC3,9.04,0.003,0.523,0.039,0.0406,0.001,0.742
80% 主分析,PC4,5.31,0.044,0.007,0.039,0.0408,0.004,0.438
80% 主分析,PC5,4.71,0.009,0.213,0.043,0.0289,0.01,0.204
80% 主分析,PERMANOVA-batch,,3.295,0.002,,,,
80% 主分析,PERMANOVA-year,,,,3.071,0.001,,
80% 主分析,PERMANOVA-BMI,,,,,,1.098,0.321
80% 主分析,Cramer's V (batch×year),,0.074,,0.074,,,
80% 主分析,Cramer's V (batch×BMI),,0.0,,,,0.0,
80% 主分析,Cramer's V (year×BMI),,,,0.071,,0.071,
50% 探索性,PC1,16.71,0.014,0.125,0.06,0.00691,0.006,0.343
50% 探索性,PC2,14.95,0.022,0.0567,0.034,0.0596,0.017,0.094
50% 探索性,PC3,8.29,0.003,0.476,0.086,0.000674,0.0,0.952
50% 探索性,PC4,6.59,0.123,3.77e-06,0.065,0.00441,0.004,0.446
50% 探索性,PC5,4.76,0.018,0.0883,0.037,0.0455,0.006,0.314
50% 探索性,PERMANOVA-batch,,3.52,0.001,,,,
50% 探索性,PERMANOVA-year,,,,3.037,0.001,,
50% 探索性,PERMANOVA-BMI,,,,,,1.165,0.265
50% 探索性,Cramer's V (batch×year),,0.074,,0.074,,,
50% 探索性,Cramer's V (batch×BMI),,0.0,,,,0.0,
50% 探索性,Cramer's V (year×BMI),,,,0.071,,0.071,
