,total_PG_AA / AA,PGE1 / PGE2,PGE1 / DGLA,15-keto-PGE2 / PGE2,9-HODE / LA,13-HODE / LA,15-HETrE / DGLA,12-HETrE / DGLA,12-HETE / AA,15-HETE / AA,12-HEPE / EPA,14-HDoHE / DHA,20-HDoHE / DHA,"8,9-DiHETrE / 8,9-EpETrE","11,12-DiHETrE / 11,12-EpETrE","9,10-DiHOME / 9,10-EpOME","12,13-DiHOME / 12,13-EpOME","19,20-DiHDPA / 19,20-EpDPA"
A19-037,-7.08741173682648,-3.0130507999480276,-13.054157366380547,1.1256844963048107,-8.93890896885321,-9.478724722125346,-10.055291674592137,-7.153669676555849,-7.221635567302469,-9.387421695517766,-9.839117561964839,-8.61312262817561,-9.589159167213317,-1.9127170856373157,-2.882138289854935,-2.8131500567387144,-2.9455171583263495,-1.1520620403727238
A19-040,-6.4791805467526515,-2.975426449654352,-11.237378825777936,-0.1780639172720524,-8.040651669410938,-8.916139868164379,-8.978156914500662,-7.44543704392951,-5.027565414590452,-8.561764840490213,-9.08271266983913,-7.222164448427602,-8.719890319403154,-2.600078945535183,-3.673895019287319,-3.076885254654199,-2.7993714199735558,-1.799206559918371
A19-055,-7.450813095122447,-2.935453781099988,-11.656613619908146,0.09487378304383043,-9.22627645628782,-10.242317600965793,-10.091547287979395,-7.046865665412277,-5.772780750465838,-10.082746791959705,-7.556085804161973,-7.697050498827887,-9.050032649517167,-1.4577513219186393,-2.7366542476784494,-2.119651036604915,-2.067010909995048,-1.0560132226202072
A19-056,-7.633574448493362,-2.8889189409915397,-11.815756970893851,0.08476583041917296,-9.20289203826284,-9.916077291775377,-9.993406239766372,-7.412488092991855,-5.476135327530249,-9.323834071823224,-9.162131863827796,-7.566115441060289,-9.117452306291025,-3.1943988794216893,-3.381284360361818,-2.704147538491144,-2.648898916044734,-1.9770241389211711
A19-061,-7.994185509267375,-3.0233501068202897,-12.580154756990499,0.052681425086952505,-9.743073795414697,-10.649378512688026,-10.47079054103361,-8.708741656821845,-8.139039704584395,-10.273750022883506,-11.424830423838246,-9.248555887493362,-10.206518376416067,-1.9853023373909395,-3.352020583291755,-3.7639517746566833,-2.638546617436215,-2.04142580242009
A19-070,-6.452427761114954,-2.2277632409933377,-10.95145691165076,0.9257326836906357,-7.982017462431652,-8.853301886604942,-8.766474931518077,-7.101087789112047,-5.202700060567306,-8.618486773562227,-8.725143245617886,-7.036249685162483,-8.475762106452844,-1.5278987156984996,-3.0792391368879026,-3.1742301141604896,-2.6016216576240123,-1.610809849353112
A19-080,-6.149484331961359,-2.2363959650921386,-9.663959945447242,0.3961607983948934,-8.068516504358985,-9.533606334680009,-9.468876889528403,-7.316837131773862,-5.282289718851075,-9.619813507338716,-8.726204045947817,-7.862078060747342,-9.101373568430462,-2.6369468587419718,-3.6915850962571706,-3.6441173149451016,-2.7597792651370434,-1.1877947996635536
A19-085,-5.891215868226848,-2.2944619891302103,-9.978932607411787,0.28434923056246486,-7.791284427509668,-8.990902230449768,-8.659010933428958,-6.1094882014078875,-3.987906394271601,-8.36696948485522,-7.551003585516622,-7.011002392699144,-8.55264710900201,-2.3506791571285475,-3.9849962937807777,-2.9991805523416657,-2.889164553247919,-1.7399421920622844
A19-112,-6.579585620638527,-2.426239360101701,-10.261116182212223,0.12292878811536845,-8.382100062910652,-9.328531782376428,-9.309451087411837,-7.283398282271623,-5.45138560593352,-9.583480746766408,-8.78260134737091,-7.495724207359139,-9.346821755773092,-2.3123619015765104,-3.0978357294268157,-3.653895214074339,-2.524760481580605,-1.2041333221359776
A19-126,-6.049787598490312,-2.2125213295391264,-10.95789636675637,0.943444399437575,-8.282031816210647,-9.431909892299501,-9.316725354190162,-6.694483166143499,-5.331064573457697,-9.137375352185508,-8.881597831074394,-7.507967156940434,-9.114344950882483,-2.2965475928301506,-3.6976671127253473,-3.3284616917328744,-2.852594450477714,-1.9853044194981617
